system:index,date,location,rainfall_mm,.geo
20200426,2020-04-26,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200427,2020-04-27,Quang Tri,2.804039173641577,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200428,2020-04-28,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200429,2020-04-29,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200430,2020-04-30,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,2020-05-01,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200502,2020-05-02,Quang Tri,10.183422099329661,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200503,2020-05-03,Quang Tri,16.165350848578463,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200504,2020-05-04,Quang Tri,1.276278333239273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200505,2020-05-05,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200506,2020-05-06,Quang Tri,22.822584344031927,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200507,2020-05-07,Quang Tri,0.009342951472710427,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200508,2020-05-08,Quang Tri,4.623918166431989,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200509,2020-05-09,Quang Tri,9.080758093443354,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200510,2020-05-10,Quang Tri,4.33092637463547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200511,2020-05-11,Quang Tri,8.770427855591246,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200512,2020-05-12,Quang Tri,0.008671285567891663,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200513,2020-05-13,Quang Tri,4.173310441822769,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200514,2020-05-14,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200515,2020-05-15,Quang Tri,6.456950357592611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200516,2020-05-16,Quang Tri,0.7229243500568615,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200517,2020-05-17,Quang Tri,39.7932039032608,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200518,2020-05-18,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200519,2020-05-19,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200520,2020-05-20,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200521,2020-05-21,Quang Tri,11.292028549488025,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200522,2020-05-22,Quang Tri,21.38813131558117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200523,2020-05-23,Quang Tri,23.62040522226765,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200524,2020-05-24,Quang Tri,6.333582984331674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200525,2020-05-25,Quang Tri,36.090058189532655,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200526,2020-05-26,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200527,2020-05-27,Quang Tri,33.35179725316855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200528,2020-05-28,Quang Tri,29.217985628852073,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200529,2020-05-29,Quang Tri,31.49465962758511,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200530,2020-05-30,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200531,2020-05-31,Quang Tri,15.359728212521853,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200601,2020-06-01,Quang Tri,1.8954059029332042,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200602,2020-06-02,Quang Tri,1.4179320483405808,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200603,2020-06-03,Quang Tri,1.3502231722138163,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200604,2020-06-04,Quang Tri,1.1164437035942407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200605,2020-06-05,Quang Tri,0.775995222992707,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200606,2020-06-06,Quang Tri,0.0011604264438009131,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200607,2020-06-07,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200608,2020-06-08,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200609,2020-06-09,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200610,2020-06-10,Quang Tri,1.6453268499490445,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200611,2020-06-11,Quang Tri,1.789243937597761,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200612,2020-06-12,Quang Tri,1.4313367897523084,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200613,2020-06-13,Quang Tri,1.7785121335928802,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200614,2020-06-14,Quang Tri,1.2879880739376353,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200615,2020-06-15,Quang Tri,5.032846775064114,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200616,2020-06-16,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200617,2020-06-17,Quang Tri,0.03122122071298682,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200618,2020-06-18,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200619,2020-06-19,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200620,2020-06-20,Quang Tri,0.1637618539847895,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200621,2020-06-21,Quang Tri,0.017346980584952595,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200622,2020-06-22,Quang Tri,1.340070310474585,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200623,2020-06-23,Quang Tri,0.1800905004611419,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200624,2020-06-24,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200625,2020-06-25,Quang Tri,1.4093284028187174,"{""type"":""MultiPoint"",""coordinates"":[]}"
